id_transacao,transactions
92,feminino;kids;conj;natty;hope;vermelho;pentea;conjunto;tylor;vivienne;blusa;love;baloes;folia;shorts;estampada;malha;brandili;rosa
93,pano;simples;boys;travesseiro;tecido;boca;unid;minasrey;retangular;luva;boneca;baby;dengo;manta;mayara;layne
94,lisa;moda;haos;confecções;bichinhos;cueca;short;elastico;liso;camiseta;algodão
95,moda;casaco;touca;frases;pintada;pedrita;bicos;calcinha;baby;patibu;infantil;tricot;camiseta;algodão;sapatinho;bordada
96,soft;poliamida;pimpolho;sortida;baby;liso;estampado;atras;suedine;canelado;denguinho;mijão;toalha;caricia;meia;minasrey;pantufa;ribana;body;aberto;mijao;cbordado;yanai;begecoracao
97,game;vici;vidi;over;pijama;longo
98,bilu;soft;circus;canelada;machao;tradicional;intima;regata;calcinha;baby;kids;tapa;cueca;matheus;navy;conjunto;july;sergio;happy;algodao;vestido;babete;fralda;preto;moda;penteada;fofinha;modas;minasrey;meia;estampada;tanga;malha;rosa
99,pimpolho;masculino;meia;pares;lisa
100,lisa;fria;malha;curta;regata;vystek;estampada;legue
101,toalhas;desenho;calcinha;luziane;estampada
102,toalhas;desenho;blusa;stichbelinha;calcinha;luziane;juvenil;lisa
103,animais;conjunto;kyly
104,prata;sandalia;fase;pimpolho
105,lisa;toalha;rosto
106,vystek;curta;lisa;legue
107,lisa;toalha;rosto
108,machao;amarelo;regata;matheus;cueca;conjunto;adulto;apolo;moletom;tactel;penmoletom;marands;prata;lazinho;mauricinho;estampada;listrado;gola;listra;bermuda;ttheus;italico;short;amster;camisa;lisa;padre
109,machao;sergio;modas;cueca;camisa;juvenil
110,machao;careca;regata;conjunto;bruma;sarja;coral;moletom;azul;marands;lazinho;gola;listra;surf;verde;pentmoletom;italico;berlimtec;camisa;lisa;bege
111,durma;rosaonca;pimpolho;dool;invisivel;doll;unissex;meia;rosezebra;calcinha;baby;luziane;stylo;colorida;infantil;juvenil;lisa;branca
112,reto;sandalia;mini;trekker;pimpolho;caramelo;fase;short;liso;camiseta;algodão;bordada
113,calcinha;kids;fofinha;tanga
114,pietro;macacao;moda;kikarinho;bebê
115,alto;toalhas;cano;masc;pimpolho;desenho;meia;colorida;azultubarao
116,toalhas;lisa;desenho;academia;toalha
117,baby;berna;biquini
118,guipir;maju;malha;waffle;faixa;calcinha;vestido;natty;vermelho;mayara
119,manga;prata;curta;italico;short;camisa;mauricinho;tactel
120,glitterretro;pimpolho;unissex;rosa;infantil;unico;oculos
121,malha;lady;vestido;vermelho;cereja;visco
122,visual;canelada;regata;kids;mania
123,pimpolho;alimentador;unissex;infantil;unico;silicone
124,indri;machao;regata;cueca;kids;mallbeck;microfibra;selfie;boxer;moletom;camiseta;preto;penteada;marands;meia;estampada;bermuda;cuecas;malha
125,lisa;guipir;polo;camiseta;calcinha;kids;camisa;diferente;gola;algodão;mayara
126,lisa;bordada;luxo;calcinha;super;camiseta;algodão;mayara
127,guipir;fria;malha;regata;calcinha;mayara
128,juvenil;bermuda;selfie;danger;conjunto;moletom;pipa
129,fralda;moda;frases;pintada;saldo;minasrey;chot;liso;short;infantil;elastico;camiseta;algodão;bordada
130,sutiã;costura;selene;boxer;calcinha;cokit;sport
131,cotton;selene;boxer;cueca;infantil
132,cuecas
